THUM_GEOGRAFI,SUG_DEREH,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH
1,2,1,75,4,5,5,2,2,0,3,1,1,2,3,3,1,1
1,4,7,67,4,1,5,3,11,0,4,1,1,0,3,1,1,1
1,2,6,82,4,5,2,3,1,9,0,0,0,0,5,6,9,9
1,1,7,54,4,1,4,1,4,0,3,1,1,3,3,1,1,1
1,2,3,47,4,1,1,3,2,1,0,1,1,0,3,1,1,1
1,2,5,69,4,1,5,3,4,2,0,1,1,3,3,1,1,1
1,2,3,85,4,5,4,3,2,2,0,1,1,4,3,3,1,1
1,4,12,61,4,1,3,3,2,3,0,5,1,4,3,1,1,1
1,2,12,79,4,5,1,3,3,0,3,3,1,3,3,3,2,2
2,4,1,77,4,5,5,2,11,2,0,4,3,2,3,4,2,2
1,3,3,3,4,5,5,3,2,0,3,5,1,4,3,3,1,1
2,2,5,77,4,1,3,3,5,2,0,1,2,1,4,11,1,1
1,2,9,77,4,5,3,3,1,1,0,1,1,2,3,6,1,1
1,1,9,39,4,1,2,2,2,0,3,1,1,2,3,1,1,1
1,2,5,86,4,5,3,3,5,3,0,1,1,3,3,6,1,1
1,3,9,90,1,5,5,2,2,0,3,5,1,5,3,3,1,1
1,3,12,79,4,5,2,3,2,0,3,3,1,3,4,3,1,1
1,4,10,26,1,5,5,2,4,1,0,5,1,3,3,6,1,1
1,2,7,84,4,5,1,3,2,1,0,1,1,3,3,3,1,1
1,1,10,94,1,5,5,3,2,9,0,0,0,0,5,6,9,9
2,3,6,67,4,1,6,3,2,3,0,4,1,4,3,1,1,1
1,2,7,42,4,1,2,3,5,3,0,1,1,2,3,1,1,1
1,1,4,33,4,1,4,3,1,0,2,1,1,2,3,1,1,1
1,1,12,26,4,5,4,3,1,1,0,1,1,0,3,6,1,1
1,2,12,32,4,1,3,3,2,9,0,0,0,0,5,11,9,9
1,1,5,42,4,1,5,3,1,0,2,1,1,2,3,1,1,1
1,1,1,71,4,5,1,3,1,1,0,1,1,3,3,6,9,9
1,3,3,55,4,1,1,3,2,0,3,1,1,3,3,1,1,1
1,1,6,21,4,5,2,3,2,3,0,1,1,0,3,3,1,1
1,2,2,81,4,5,7,3,2,0,3,3,1,4,3,3,1,1
1,2,10,64,4,1,5,2,1,0,5,1,1,2,3,1,1,1
